nombre,apellido,ano
Michael,Stich,1991
Andre,Agassi,1992
Pete,Sampras,1993
Pete,Sampras,1994
Pete,Sampras,1995
Richard,Krajicek,1996
Pete,Sampras,1997
Pete,Sampras,1998
Pete,Sampras,1999
Pete,Sampras,2000
Goran,Ivanisevic,2001
Lleyton,Hewitt,2002
Roger,Federer,2003
Roger,Federer,2004
Roger,Federer,2005
Roger,Federer,2006
Roger,Federer,2007
Rafael,Nadal,2008
Roger,Federer,2009
Rafael,Nadal,2010
Novak,Djokovic,2011
Roger,Federer,2012
Andy,Murray,2013
Novak,Djokovic,2014
Novak,Djokovic,2015
Andy,Murray,2016
Roger,Federer,2017
Novak,Djokovic,2018
Novak,Djokovic,2019
Novak,Djokovic,2021
Novak,Djokovic,2022
Carlos,Alcaraz,2023
