restaurante,fecha,valoracion_ambiente,valoracion_personal,valoracion_comida
10,2022-05-01,4.2,3.4,4.6
10,2022-05-01,4.5,4.9,4.7
10,2022-05-01,4.2,4.6,4.6
10,2022-05-01,4.9,3.4,3.6
10,2022-05-01,4.0,3.9,4.5
10,2022-05-01,4.3,4.4,4.0
10,2022-05-01,3.9,4.2,3.7
10,2022-05-01,3.9,4.5,4.8
10,2022-05-01,4.7,4.7,3.8
10,2022-05-01,4.0,4.6,4.3
10,2022-05-01,4.1,3.5,4.6
10,2022-05-01,4.1,5.0,4.1
10,2022-05-01,4.2,3.8,3.3
10,2022-05-01,4.1,3.7,4.6
10,2022-05-01,3.8,4.1,4.2
10,2022-05-01,3.7,3.3,3.5
10,2022-05-01,4.1,4.8,4.4
10,2022-05-01,4.6,4.3,4.4
10,2022-05-01,4.1,3.9,4.6
10,2022-05-01,4.3,4.2,3.5
10,2022-05-01,3.9,3.7,4.3
10,2022-05-01,4.1,3.9,4.3
10,2022-05-01,3.7,4.8,4.6
10,2022-05-01,3.4,3.6,4.0
10,2022-05-01,3.5,3.8,3.7
10,2022-05-01,4.0,4.5,3.9
10,2022-05-01,4.3,3.9,4.9
10,2022-05-01,3.9,3.7,3.9
10,2022-05-01,4.1,4.2,4.7
10,2022-05-01,4.9,4.0,4.4
10,2022-05-01,3.8,4.8,4.3
10,2022-05-01,4.5,4.3,3.8
10,2022-05-01,4.1,4.5,4.3
10,2022-05-01,4.9,3.3,4.4
10,2022-05-01,4.6,3.7,4.3
10,2022-05-01,4.4,4.1,3.4
10,2022-05-01,4.6,3.6,4.4
10,2022-05-01,4.2,4.4,3.5
10,2022-05-01,4.3,4.1,3.8
10,2022-05-01,4.0,4.5,4.4
10,2022-05-01,3.9,3.8,4.4
10,2022-05-01,4.6,3.9,4.0
10,2022-05-01,3.7,3.9,4.2
10,2022-05-01,4.3,4.2,4.3
10,2022-05-01,3.9,3.8,3.6
10,2022-05-01,4.6,3.9,3.6
10,2022-05-01,3.9,3.6,4.4
10,2022-05-01,4.9,3.1,4.4
10,2022-05-01,4.9,4.3,4.6
10,2022-05-02,4.6,3.8,3.8
10,2022-05-02,4.3,4.3,4.1
10,2022-05-02,3.7,4.9,4.0
10,2022-05-02,4.4,4.9,4.3
10,2022-05-02,4.0,3.8,3.9
10,2022-05-02,4.5,3.4,4.0
10,2022-05-02,4.0,3.6,4.7
10,2022-05-02,4.7,4.5,4.5
10,2022-05-02,4.6,3.7,5.0
10,2022-05-02,4.2,4.7,3.2
10,2022-05-02,3.9,4.8,4.6
10,2022-05-02,3.9,4.0,4.4
10,2022-05-02,4.3,4.9,3.7
10,2022-05-02,3.9,4.5,4.4
10,2022-05-02,3.5,4.5,3.8
10,2022-05-02,4.0,3.2,4.2
10,2022-05-02,4.5,3.4,3.9
10,2022-05-02,4.1,3.6,4.6
10,2022-05-02,5.0,4.2,3.0
10,2022-05-02,4.3,4.1,4.4
10,2022-05-02,4.0,3.8,4.2
10,2022-05-02,4.7,4.6,4.5
10,2022-05-02,3.5,5.0,3.5
10,2022-05-02,4.4,4.2,4.6
10,2022-05-02,4.8,3.7,4.0
10,2022-05-02,5.0,4.7,4.0
10,2022-05-02,3.8,4.0,4.9
10,2022-05-02,4.6,4.2,4.7
10,2022-05-02,4.0,4.2,3.7
10,2022-05-02,3.8,4.9,4.8
10,2022-05-02,4.1,2.8,3.8
10,2022-05-02,3.4,4.2,4.4
10,2022-05-02,3.6,3.4,4.4
10,2022-05-02,4.3,4.3,4.4
10,2022-05-02,4.0,4.2,4.2
10,2022-05-02,4.3,4.8,3.2
10,2022-05-02,3.5,3.7,4.5
10,2022-05-02,4.5,4.3,3.4
10,2022-05-02,4.0,4.6,4.4
10,2022-05-02,4.2,4.0,4.1
10,2022-05-02,4.1,4.1,3.7
10,2022-05-02,3.8,4.0,4.1
10,2022-05-02,3.7,3.5,3.6
10,2022-05-02,4.1,3.8,3.7
10,2022-05-02,5.0,3.2,4.3
10,2022-05-02,4.5,3.5,3.9
10,2022-05-02,3.5,4.2,4.3
10,2022-05-02,4.4,4.0,4.8
10,2022-05-02,3.8,3.9,3.7
10,2022-05-03,4.3,3.6,4.8
10,2022-05-03,4.8,3.7,4.8
10,2022-05-03,4.0,3.8,3.1
10,2022-05-03,3.2,4.1,5.0
10,2022-05-03,4.7,4.3,4.2
10,2022-05-03,4.8,4.1,3.7
10,2022-05-03,4.7,4.0,4.3
10,2022-05-03,3.9,4.0,4.7
10,2022-05-03,4.3,4.5,3.5
10,2022-05-03,4.7,4.6,4.0
10,2022-05-03,3.9,3.7,3.8
10,2022-05-03,4.2,3.3,4.3
10,2022-05-03,4.5,4.6,3.3
10,2022-05-03,3.8,4.9,4.2
10,2022-05-03,3.6,3.1,3.7
10,2022-05-03,3.1,4.3,4.0
10,2022-05-03,4.0,4.2,4.7
10,2022-05-03,4.1,4.3,3.8
10,2022-05-03,4.3,5.0,4.3
10,2022-05-03,4.2,4.1,4.4
10,2022-05-03,4.0,4.2,4.8
10,2022-05-03,4.8,3.8,3.8
10,2022-05-03,4.0,4.9,4.4
10,2022-05-03,4.6,4.4,3.7
10,2022-05-03,4.0,4.1,4.4
10,2022-05-03,4.9,4.7,3.5
10,2022-05-03,3.6,4.4,4.6
10,2022-05-03,4.9,4.1,4.5
10,2022-05-03,4.1,2.9,4.7
10,2022-05-03,4.4,3.9,4.1
10,2022-05-03,4.1,3.9,4.8
10,2022-05-03,4.3,4.3,4.2
10,2022-05-03,4.1,4.8,4.0
10,2022-05-03,4.7,3.8,4.2
10,2022-05-03,4.6,3.7,4.9
10,2022-05-03,3.9,3.9,4.2
10,2022-05-03,3.2,4.5,4.8
10,2022-05-03,4.4,4.4,2.9
10,2022-05-03,4.2,4.3,3.6
