restaurante,fecha,valoracion_ambiente,valoracion_personal,valoracion_comida
7,2023-12-01,4.5,4.0,3.3
7,2023-12-01,4.6,3.3,4.4
7,2023-12-01,4.3,3.5,4.4
7,2023-12-01,3.4,4.1,3.9
7,2023-12-01,3.2,4.1,4.5
7,2023-12-01,3.6,3.3,3.9
7,2023-12-01,3.6,4.1,4.3
7,2023-12-01,4.5,4.2,3.6
7,2023-12-01,4.4,3.7,4.0
7,2023-12-01,3.7,3.4,4.2
7,2023-12-01,3.9,4.0,3.9
7,2023-12-01,3.9,4.3,4.2
7,2023-12-01,4.0,3.6,3.8
7,2023-12-01,4.4,4.3,3.7
7,2023-12-01,4.6,4.1,3.8
7,2023-12-01,3.6,3.6,3.0
7,2023-12-01,3.8,3.2,3.7
7,2023-12-01,4.7,4.0,3.7
7,2023-12-01,4.7,4.1,4.5
7,2023-12-01,5.0,3.5,4.4
7,2023-12-01,4.6,4.9,2.7
7,2023-12-01,3.7,3.9,4.6
7,2023-12-01,4.1,5.0,3.7
7,2023-12-01,4.7,4.0,3.6
7,2023-12-01,4.1,4.3,4.3
7,2023-12-01,3.4,3.9,4.1
7,2023-12-01,4.3,4.5,4.2
7,2023-12-01,4.6,4.2,3.9
7,2023-12-01,4.5,4.3,3.9
7,2023-12-01,4.7,3.5,4.4
7,2023-12-01,4.4,5.0,4.8
7,2023-12-01,4.8,2.7,4.5
7,2023-12-01,4.6,4.4,3.5
7,2023-12-01,4.5,3.9,4.1
7,2023-12-01,4.1,4.9,4.3
7,2023-12-01,4.5,3.7,3.7
7,2023-12-01,4.6,3.7,4.5
7,2023-12-01,3.7,3.7,5.0
7,2023-12-01,3.7,4.0,4.0
7,2023-12-01,4.4,4.2,4.2
7,2023-12-01,4.3,4.4,4.0
7,2023-12-01,4.0,4.0,4.3
7,2023-12-01,3.7,4.2,3.7
7,2023-12-01,4.9,3.7,4.4
7,2023-12-02,3.7,4.0,3.7
7,2023-12-02,5.0,4.3,3.6
7,2023-12-02,4.4,3.9,4.0
7,2023-12-02,4.4,4.7,4.0
7,2023-12-02,4.4,4.0,3.5
7,2023-12-02,4.0,3.5,4.2
7,2023-12-02,4.0,3.6,3.5
7,2023-12-02,4.5,4.7,4.6
7,2023-12-02,4.1,4.7,3.9
7,2023-12-02,4.8,3.3,4.1
7,2023-12-02,4.3,4.1,4.8
7,2023-12-02,4.4,4.4,3.4
7,2023-12-02,3.8,5.0,4.7
7,2023-12-02,4.1,4.1,4.3
7,2023-12-02,4.0,4.5,4.1
7,2023-12-02,4.8,4.0,4.5
7,2023-12-02,4.0,3.0,4.7
7,2023-12-02,4.6,4.0,4.3
7,2023-12-02,4.1,4.8,4.0
7,2023-12-02,3.6,3.7,3.7
7,2023-12-02,3.9,4.1,4.5
7,2023-12-02,4.6,4.0,3.6
7,2023-12-02,3.9,4.0,5.0
7,2023-12-02,3.5,5.0,4.0
7,2023-12-02,4.3,3.6,5.0
7,2023-12-02,3.7,4.8,4.2
7,2023-12-02,3.4,3.9,4.0
7,2023-12-02,3.8,4.6,4.5
7,2023-12-02,3.6,3.9,5.0
7,2023-12-02,4.1,3.9,3.9
7,2023-12-02,3.0,4.7,3.0
7,2023-12-02,3.6,3.4,5.0
7,2023-12-02,3.2,4.0,3.6
7,2023-12-02,4.1,3.4,3.5
7,2023-12-02,5.0,4.5,3.6
7,2023-12-02,4.0,4.2,5.0
7,2023-12-02,3.8,3.9,4.0
7,2023-12-02,4.7,4.0,5.0
7,2023-12-02,3.1,4.6,4.5
7,2023-12-02,3.4,4.6,3.9
7,2023-12-02,3.5,5.0,4.4
7,2023-12-02,3.5,3.7,4.5
7,2023-12-02,4.5,4.3,4.1
7,2023-12-02,4.2,4.5,4.0
7,2023-12-03,3.0,4.2,4.5
7,2023-12-03,4.1,4.1,4.4
