topic docId correctness
19 b8a94af4-484d-4704-87ce-07ab59fb6472 0
20 5870e68b-299b-453a-8957-d76f37922f90 0
14 c860103e-a7e4-4af3-95ce-c32ef859ee6f 1
18 42997c42-3323-4505-8014-aa4960b348e9 1
1 fc7e8d3e-e4b9-45f8-a0cf-5b200a33aaac 1
10 1fc9a4fc-d113-4093-82bf-77a3be3ffb35 1
10 fc3aa34c-061e-4fb4-8230-387c686f91c9 1
13 44571bf5-297d-45f4-b623-10614b4b60fa 1
9 ec6efffc-d216-484b-9696-42c0b9176519 0
2 125b8351-d95d-4ec5-9926-46404ad72fce 0
16 97ebe27a-4559-41e0-999a-904fe049ded5 1
13 856b3d03-2a3f-4f92-a663-863f3f387cc1 1
9 9274926e-eef2-402a-9ac0-082f610ce711 0
6 670f7fdc-a2d9-42bc-a744-2c54a1098236 0
4 39e4f6e6-be4d-4967-9420-98a42186a1e7 0
6 364737e5-698f-4c3e-8712-c6a7edcde416 1
7 48cea12b-cf18-4bb2-a93c-f1e4e3b73e8f 1
9 319be815-3c4e-40d8-8ca1-a8aed7acfff1 0
25 68d9a7d7-530f-4ab9-950e-323dfc5e4899 1
15 b6995d1c-958e-4436-91de-c64051f05f6d 1
1 8a705aac-aaaf-4fbf-b5bb-f6aa790cb25c 1
9 f6361bb7-b478-4d84-9b07-2c91d174d9b0 0
2 049545a2-2593-49aa-be2f-40d43c66c94e 1
18 4f1a34c0-930a-4a08-99d1-df82fc336f52 0
8 4dc5e274-c8a6-415e-a5b6-0e21676385ee 1
18 53368b06-31b6-4637-974e-4cfbd33df6ed 1
4 d0e32e6c-0985-4042-9556-7ff2d5dc7973 0
2 2d789126-a0ce-4067-ad1d-2eb4cae39776 1
10 117b8b96-1ffb-42d6-83d8-dff4ef35d452 1
25 f23648c4-e40a-4658-b292-9b1c85f4220e 0
25 4031ed79-9ca3-4543-ab24-2c63a5511e2e 0
16 5904aa7e-cdff-482a-8149-dac53c98bc93 0
22 3bf059ad-b7fb-4490-a725-7cc28edac559 0
7 10708222-50ba-4140-acee-ea869a8cc2b5 1
9 0ca31d44-04a5-4d87-b8c3-ee1803389cba 0
18 78d37de7-7a92-4988-8747-82962a2957f8 0
1 8273d8c5-6566-4926-aebb-26f859d04c39 0
1 85ee68aa-16be-4950-995d-62393db0fc87 1
4 82d1befd-421e-429a-8228-b80c80ce5a92 0
15 2fde030d-4018-44af-9f58-83485ee4dc18 1
20 583a9398-34fa-4e88-83a9-047e53944d11 1
18 20e9f19c-42ec-4528-abd8-5a9a214af321 0
6 c8738ee0-f0ea-48a2-8b85-68f7ac2dc38f 0
8 9a57e8a0-bb43-4131-a1d3-f2c9163502cb 1
18 7b553f3a-e4ca-410d-8316-b58c41736e69 0
1 11306fa1-07a3-454d-80ee-4450f291b4b2 1
13 a90b8be2-9c9d-47fe-95da-5b731a6ac7ef 1
15 209f98ca-c7c2-4b3e-a613-e49127271d97 1
4 c620d527-ace6-483d-8e5f-925a4dd5f174 0
1 176c6c5c-c54c-4ece-9a0e-e3dd5d2bd8b1 1
1 32eba37f-201f-4820-a0ae-5dc1e30fc19f 0
